##ID,,,,0黑；1绿；2蓝；3紫；4黄,备注，程序不读,,,,0：静态等级；1：动态等级,,,,,,,,,,,,,,,,
怪物ID,名称,显示名,性别,怪物等阶,怪物类型,头像资源ID,资源,等级,是否动态等级,主动技能,普攻技能,天赋技能,放大比例,生命,攻击,命中,闪避,暴击,韧性,抵挡,破击,护甲,破甲,初始怒气,类型
6700,,秦国士兵,0,3,2,6002,daodunbing,262,,120,2,,10000,203300,16267,0,10,14,0,100,0,0,0,50,0
6701,,秦国侍卫,0,3,2,6002,daodunbing,263,,120,2,,10000,229835,18338,0,10,15,0,100,0,0,0,50,0
6702,,秦国侍卫,0,3,1,6005,youxia,263,,122,2,,10000,183868,24970,0,100,15,0,0,0,0,0,50,0
6703,,秦国侍卫,0,3,2,6002,daodunbing,264,,120,2,,10000,210413,16741,0,10,14,0,100,0,0,0,50,0
6704,,秦国侍卫,0,3,1,6004,cike,264,,121,3,,10000,117831,32058,0,10,203,0,0,0,0,0,50,0
6705,,秦国侍卫,0,3,1,6001,changqiangbing,266,,119,1,,10000,171187,24747,0,10,135,0,0,0,0,0,50,0
6706,,秦国侍卫,0,3,1,6006,wushi,266,,123,134,,10000,112342,36127,0,10,270,0,0,0,0,0,50,0
6707,,秦国猛将,0,3,1,6004,cike,267,,121,3,,10000,121836,32972,0,10,203,0,0,0,0,0,50,0
6708,,秦国猛将,0,3,1,6003,gongjianshou,267,,116,4,,10000,121836,32972,0,10,203,0,0,0,0,0,50,0
6709,,秦国猛将,0,3,2,6002,daodunbing,268,,120,2,,10000,245729,19398,0,10,15,0,100,0,0,0,50,0
6710,,秦国猛将,0,3,1,6003,gongjianshou,268,,116,4,,10000,137608,37145,0,10,225,0,0,0,0,0,50,0
6711,,秦国猛将,0,3,1,6001,changqiangbing,269,,119,1,,10000,179806,25794,0,10,135,0,0,0,0,0,50,0
6712,,秦国猛将,0,3,1,6006,wushi,269,,123,134,,10000,117998,37656,0,10,270,0,0,0,0,0,50,0
6713,,秦国大将,0,3,1,6004,cike,270,,121,3,,10000,127887,34352,0,10,203,0,0,0,0,0,50,0
6714,,秦国大将,0,3,1,6003,gongjianshou,270,,116,4,,10000,127887,34352,0,10,203,0,0,0,0,0,50,0
6715,,秦国大将,0,3,1,6008,wufu,271,,125,2,,10000,185593,24757,0,100,14,0,0,0,0,0,50,0
6716,,秦国大将,0,3,1,6006,wushi,271,,123,134,,10000,121795,38683,0,10,270,0,0,0,0,0,50,0
6717,,秦国大将,0,3,1,6006,wushi,272,,123,134,,10000,137447,43554,0,10,300,0,0,0,0,0,50,0
6718,,秦国大将,0,3,1,6001,changqiangbing,272,,119,1,,10000,209442,29834,0,10,150,0,0,0,0,0,50,0
6719,,西施家将,0,3,2,6002,daodunbing,273,,120,2,,10000,243525,18917,0,10,14,0,100,0,0,0,50,0
6720,,西施家将,0,3,1,6006,wushi,273,,123,134,,10000,127851,40249,0,10,270,0,0,0,0,0,50,0
6721,,西施家将,0,3,1,6001,changqiangbing,274,,119,1,,10000,197994,27932,0,10,135,0,0,0,0,0,50,0
6722,,西施家将,0,3,2,6002,daodunbing,274,,120,2,,10000,247493,19165,0,10,14,0,100,0,0,0,50,0
6723,,西施家将,0,3,1,6001,changqiangbing,276,,119,1,,10000,201177,28295,0,10,135,0,0,0,0,0,50,0
6724,,西施家将,0,3,1,6006,wushi,276,,123,134,,10000,132022,41306,0,10,270,0,0,0,0,0,50,0
6725,,西施丫鬟,0,3,1,6005,youxia,277,,122,2,,10000,227076,29750,0,100,15,0,0,0,0,0,50,0
6726,,西施丫鬟,0,3,1,6011,mibaoshanzeitoumu,277,,147,146,,10000,227076,41837,0,10,150,0,0,0,0,0,50,0
6727,,西施丫鬟,0,3,1,6003,gongjianshou,278,,116,4,,10000,145298,38132,0,10,203,0,0,0,0,0,50,0
6728,,西施丫鬟,0,3,1,6006,wushi,278,,123,134,,10000,136217,42369,0,10,270,0,0,0,0,0,50,0
6729,,西施丫鬟,0,3,1,6003,gongjianshou,279,,116,4,,10000,147544,38612,0,10,203,0,0,0,0,0,50,0
6730,,西施丫鬟,0,3,2,6002,daodunbing,279,,120,2,,10000,263472,20164,0,10,14,0,100,0,0,0,50,0
6731,,西施侍卫,0,3,1,6001,changqiangbing,280,,119,1,,10000,213996,29754,0,10,135,0,0,0,0,0,50,0
6732,,西施侍卫,0,3,1,6003,gongjianshou,280,,116,4,,10000,149797,39093,0,10,203,0,0,0,0,0,50,0
6733,,西施侍卫,0,3,1,6003,gongjianshou,281,,116,4,,10000,168950,43973,0,10,225,0,0,0,0,0,50,0
6734,,西施侍卫,0,3,1,6001,changqiangbing,281,,119,1,,10000,241358,33468,0,10,150,0,0,0,0,0,50,0
6735,,西施侍卫,0,3,1,6007,mibaoshanzei,282,,124,3,,10000,154320,40060,0,10,203,0,0,0,0,0,50,0
6736,,西施侍卫,0,3,1,6006,wushi,282,,123,134,,10000,144675,44511,0,10,270,0,0,0,0,0,50,0
6737,,西施亲兵,0,3,1,6004,cike,284,,121,3,,10000,156591,40545,0,10,203,0,0,0,0,0,50,0
6738,,西施亲兵,0,3,1,6005,youxia,284,,122,2,,10000,223702,28832,0,100,14,0,0,0,0,0,50,0
6739,,西施亲兵,0,3,1,6008,wufu,285,,125,2,,10000,226954,29178,0,100,14,0,0,0,0,0,50,0
6740,,西施亲兵,0,3,2,6002,daodunbing,285,,120,2,,10000,283693,21428,0,10,14,0,100,0,0,0,50,0
6741,,西施亲兵,0,3,1,6005,youxia,286,,122,2,,10000,255795,32806,0,100,15,0,0,0,0,0,50,0
6742,,西施亲兵,0,3,2,6002,daodunbing,286,,120,2,,10000,319744,24092,0,10,15,0,100,0,0,0,50,0
6743,,齐国士兵,0,3,1,6001,changqiangbing,287,,119,1,,10000,234845,32048,0,10,135,0,0,0,0,0,50,0
6744,,齐国士兵,0,3,1,6005,youxia,287,,122,2,,10000,234845,29943,0,100,14,0,0,0,0,0,50,0
6745,,齐国士兵,0,3,1,6006,wushi,288,,123,134,,10000,155642,47113,0,10,270,0,0,0,0,0,50,0
6746,,齐国士兵,0,3,2,6002,daodunbing,288,,120,2,,10000,296461,22143,0,10,14,0,100,0,0,0,50,0
6747,,齐国士兵,0,3,1,6006,wushi,289,,123,134,,10000,157171,47442,0,10,270,0,0,0,0,0,50,0
6748,,齐国士兵,0,3,1,6007,mibaoshanzei,289,,124,3,,10000,167649,42698,0,10,203,0,0,0,0,0,50,0
6749,,齐国侍卫,0,3,1,6011,mibaoshanzeitoumu,291,,147,146,,10000,268706,47771,0,10,150,0,0,0,0,0,50,0
6750,,齐国侍卫,0,3,1,6011,mibaoshanzeitoumu,291,,147,146,,10000,268706,47771,0,10,150,0,0,0,0,0,50,0
6751,,齐国侍卫,0,3,1,6003,gongjianshou,292,,116,4,,10000,170924,43292,0,10,203,0,0,0,0,0,50,0
6752,,齐国侍卫,0,3,1,6001,changqiangbing,292,,119,1,,10000,244178,32950,0,10,135,0,0,0,0,0,50,0
6753,,齐国侍卫,0,3,1,6004,cike,293,,121,3,,10000,172568,43590,0,10,203,0,0,0,0,0,50,0
6754,,齐国侍卫,0,3,1,6005,youxia,293,,122,2,,10000,246526,30997,0,100,14,0,0,0,0,0,50,0
6755,,齐国猛将,0,3,1,6003,gongjianshou,294,,116,4,,10000,174217,43889,0,10,203,0,0,0,0,0,50,0
6756,,齐国猛将,0,3,1,6001,changqiangbing,294,,119,1,,10000,248881,33404,0,10,135,0,0,0,0,0,50,0
6757,,齐国猛将,0,3,1,6008,wufu,295,,125,2,,10000,279158,34914,0,100,15,0,0,0,0,0,50,0
6758,,齐国猛将,0,3,1,6003,gongjianshou,295,,116,4,,10000,195410,49098,0,10,225,0,0,0,0,0,50,0
6759,,齐国猛将,0,3,1,6005,youxia,296,,122,2,,10000,253609,31636,0,100,14,0,0,0,0,0,50,0
6760,,齐国猛将,0,3,1,6001,changqiangbing,296,,119,1,,10000,253609,33860,0,10,135,0,0,0,0,0,50,0
6761,,齐国大将,0,3,1,6006,wushi,298,,123,134,,10000,167988,49766,0,10,270,0,0,0,0,0,50,0
6762,,齐国大将,0,3,1,6005,youxia,298,,122,2,,10000,255982,31850,0,100,14,0,0,0,0,0,50,0
6763,,齐国大将,0,3,1,6007,mibaoshanzei,299,,124,3,,10000,180854,45091,0,10,203,0,0,0,0,0,50,0
6764,,齐国大将,0,3,1,6003,gongjianshou,299,,116,4,,10000,180854,45091,0,10,203,0,0,0,0,0,50,0
6765,,齐国大将,0,3,1,6001,changqiangbing,300,,119,1,,10000,289720,38389,0,10,150,0,0,0,0,0,50,0
6766,,齐国大将,0,3,1,6011,mibaoshanzeitoumu,300,,147,146,,10000,289720,50438,0,10,150,0,0,0,0,0,50,0
7001,,魔·华妃,1,0,1,1017,diaocan,6,,22,3,,10000,380,80,45,10,315,0,0,0,0,0,50,2
7002,,唐家书生,0,1,1,6009,wenguan,8,,126,5,,10000,319,80,45,10,360,0,0,18,0,0,50,1
7003,,魔·唐伯虎,0,1,1,1024,tangbohu,10,,29,115,,10000,1373,378,45,100,15,0,0,15,0,0,50,2
7004,,明朝杂兵,0,1,1,6009,wenguan,12,,126,5,,10000,718,482,45,10,300,0,0,15,0,0,50,1
7005,,明朝将军,0,1,1,6010,wujiang,13,,128,127,,10000,1386,421,45,10,150,0,0,15,0,0,50,1
7006,,魔·朱元璋,0,1,2,1029,zhuyuanzhang,15,,34,2,,10000,1400,165,45,10,15,0,100,15,0,0,50,2
7007,,武当小弟子,0,1,1,6009,wenguan,16,,126,5,,10000,1434,240,45,10,300,0,0,15,0,0,50,1
7008,,武当大师兄,0,1,1,6010,wujiang,18,,128,127,,10000,2582,178,45,10,150,0,0,15,0,0,50,1
7009,,魔·张三丰,0,1,1,1021,zhangsf,19,,26,107,,10000,1600,320,45,100,15,0,0,15,0,0,50,2
7010,,龙虎大将,0,1,1,6009,wenguan,21,,126,5,,10000,2757,1742,45,10,300,0,0,15,0,0,50,1
7011,,龙虎老将,0,1,1,6010,wujiang,24,,128,127,,10000,5122,1478,45,10,150,0,0,15,0,0,50,1
7012,,魔·成吉思汗,0,1,2,1028,chengjisihan,25,,33,4,,10000,14661,2342,45,10,15,0,100,15,0,0,50,2
7013,,大宋杂兵,0,1,1,6009,wenguan,27,,126,5,,10000,4308,2702,45,10,300,0,0,15,0,0,50,1
7014,,大宋猛将,0,1,1,6010,wujiang,29,,128,127,,10000,7171,1976,45,10,150,0,0,15,0,0,50,1
7015,,魔·王重阳,0,1,1,1026,wangchongyang,30,,31,112,,10000,15312,3878,45,100,15,0,0,15,0,0,50,2
7016,,梁山步兵,0,1,1,6009,wenguan,32,,126,5,,10000,5446,3201,45,10,300,0,0,15,0,0,50,1
7017,,梁山骑兵,0,1,1,6010,wujiang,34,,128,127,,10000,8850,2293,45,10,150,0,0,15,0,0,50,1
7018,,魔·林冲,0,1,1,1025,linchong,35,,30,2,,10000,18866,4485,45,100,15,0,0,15,0,0,50,2
7019,,老纯,0,1,1,6009,wenguan,37,,126,5,,10000,6827,3768,45,10,300,0,0,15,0,0,50,1
7020,,首席弟子,0,1,1,6010,wujiang,39,,128,127,,10000,11225,2735,45,10,150,0,0,15,0,0,50,1
7021,,魔·吕洞宾,0,1,1,1022,lvdongbin,40,,27,2,,10000,24175,5411,45,100,15,0,0,15,0,0,50,2
7022,,金国侍卫,0,1,1,6009,wenguan,41,,126,5,,10000,8519,4443,45,10,300,0,0,15,0,0,50,1
7023,,朱仙镇守兵,0,1,1,6010,wujiang,43,,128,127,,10000,13732,3168,45,10,150,0,0,15,0,0,50,1
7024,,魔·岳飞,0,1,1,1004,yuefei,45,,9,1,,10000,29030,6594,45,10,150,0,0,15,0,0,50,2
7025,,西门家将,0,2,1,6009,wenguan,47,,126,5,,10000,9965,5061,30,10,300,0,0,15,0,0,50,1
7026,,西门门徒,0,2,1,6010,wujiang,49,,128,127,,10000,15744,3609,30,10,150,0,0,15,0,0,50,1
7027,,魔·西门庆,0,2,1,1020,ximenqing,50,,25,2,,10000,22855,9869,30,10,225,0,0,15,0,0,50,2
7028,,门徒,0,2,1,6009,wenguan,52,,126,5,,10000,11474,5729,30,10,300,0,0,15,0,0,50,1
7029,,衙役,0,2,1,6010,wujiang,55,,128,127,,10000,18448,4064,30,10,150,0,0,15,0,0,50,1
7030,,魔·杨贵妃,1,2,1,1014,shangguanwaner,57,,19,5,,10000,25523,12288,30,10,300,0,0,15,0,0,50,2
7031,,武周铁骑,0,2,1,6009,wenguan,59,,126,5,,10000,13488,6356,30,10,300,0,0,15,0,0,50,1
7032,,武周猛将,0,2,1,6010,wujiang,60,,128,127,,10000,21470,4474,30,10,150,0,0,15,0,0,50,1
7033,,魔·狄仁杰,0,2,1,1013,direnjie,62,,18,108,,10000,29421,13422,30,10,300,0,0,15,0,0,50,2
7034,,大唐精兵,0,2,1,6009,wenguan,65,,126,5,,10000,15535,6944,30,10,300,0,0,15,0,0,50,1
7035,,大唐猛将,0,2,1,6010,wujiang,68,,128,127,,10000,24712,4888,30,10,150,0,0,15,0,0,50,1
7036,,魔·武则天,1,2,2,1032,wuzetian,70,,37,2,,10000,64452,6893,30,10,15,0,100,15,0,0,50,2
7037,,文人,0,2,1,6009,wenguan,73,,126,5,,10000,18038,7692,30,10,300,0,0,15,0,0,50,1
7038,,墨客,0,2,1,6010,wujiang,76,,128,127,,10000,28893,5472,30,10,150,0,0,15,0,0,50,1
7039,,魔·李白,0,2,1,1023,libai,79,,28,2,,10000,60672,10614,30,100,15,0,0,15,0,0,50,2
7040,,瓦岗寨士兵,0,2,1,6009,wenguan,81,,126,5,,10000,20533,8607,30,10,300,0,0,15,0,0,50,1
7041,,瓦岗寨精兵,0,2,1,6010,wujiang,84,,128,127,,10000,32071,6075,30,10,150,0,0,15,0,0,50,1
7042,,魔·李世民,0,2,2,1031,lishimin,86,,36,2,,10000,82185,8585,30,10,15,0,100,15,0,0,50,2
7043,,唐朝精兵,0,2,1,6009,wenguan,90,,126,5,,10000,22241,9476,30,10,300,0,0,15,0,0,50,1
7044,,唐朝猛将,0,2,1,6010,wujiang,93,,128,127,,10000,34726,6683,30,10,150,0,0,15,0,0,50,1
7045,,魔·花木兰,1,2,1,1008,huamulan,96,,13,1,,10000,71160,13758,30,10,150,0,0,15,0,0,50,2
7046,,柔然精兵,0,2,1,6009,wenguan,99,,126,5,,10000,24269,10490,30,10,300,0,0,15,0,0,50,1
7047,,柔然猛将,0,2,1,6010,wujiang,102,,128,127,,10000,38128,7436,30,10,150,0,0,15,0,0,50,1
7048,,魔·小乔,1,2,1,1019,xiaoqiao,105,,24,3,,10000,55020,20212,30,10,225,0,0,15,0,0,50,2
7049,,吴国精兵,0,2,1,6009,wenguan,108,,126,5,,10000,26485,11588,30,10,300,0,0,15,0,0,50,1
7050,,吴国猛将,0,2,1,6010,wujiang,111,,128,127,,10000,41225,8138,30,10,150,0,0,15,0,0,50,1
7051,,魔·貂蝉,1,2,1,1017,diaocan,114,,22,3,,10000,58951,21921,30,10,225,0,0,15,0,0,50,2
7052,,貂蝉丫鬟,0,2,1,6009,wenguan,119,,126,5,,10000,28384,12564,30,10,300,0,0,15,0,0,50,1
7053,,貂蝉侍卫,0,2,1,6010,wujiang,122,,128,127,,10000,44186,8822,30,10,150,0,0,15,0,0,50,1
7054,,魔·吕布,0,2,1,1002,lvbu,126,,7,1,,10000,90276,18084,30,10,150,0,0,15,0,0,50,2
7055,,吕布侍卫,0,2,1,6009,wenguan,130,,126,5,,10000,30419,13614,30,10,300,0,0,15,0,0,50,1
7056,,吕布亲兵,0,3,1,6010,wujiang,135,,128,127,,10000,47345,9557,30,10,150,0,0,15,0,0,50,1
7057,,魔·赵云,0,3,1,1006,zhaoyun,139,,11,1,,10000,96708,19584,30,10,150,0,0,15,0,0,50,2
7058,,魏国精兵,0,3,1,6009,wenguan,142,,126,5,,10000,34123,15171,30,10,300,0,0,15,0,0,50,1
7059,,魏国猛将,0,3,1,6010,wujiang,146,,128,127,,10000,54970,10883,30,10,150,0,0,15,0,0,50,1
7060,,魔·关羽,0,3,1,1005,guanyu,150,,10,1,,10000,115982,22761,30,10,150,0,0,15,0,0,50,2
7061,,蜀国精兵,0,3,1,6009,wenguan,155,,126,5,,10000,40222,17355,30,10,300,0,0,15,0,0,50,1
7062,,蜀国猛将,0,3,1,6010,wujiang,160,,128,127,,10000,63981,12301,30,10,150,15,0,15,0,0,50,1
7063,,魔·诸葛亮,0,3,1,1009,zhugeliang,164,,14,111,,10000,87561,37143,30,10,300,8,0,15,0,0,50,2
7064,,诸葛侍卫,0,3,1,6009,wenguan,169,,126,5,,10000,46142,19368,30,10,300,8,0,15,0,0,50,1
7065,,诸葛亲兵,0,3,1,6010,wujiang,174,,128,127,,10000,73242,13710,30,10,150,15,0,15,0,0,50,1
7066,,魔·刘备,0,3,2,1027,liubei,178,,32,118,,10000,190545,19433,30,10,15,15,100,15,0,0,50,2
7067,,玄德侍卫,0,3,1,6009,wenguan,183,,126,5,,10000,53181,21728,30,10,300,8,0,15,0,0,50,1
7068,,玄德亲兵,0,3,1,6010,wujiang,187,,128,127,,10000,84957,15471,30,10,150,15,0,15,0,0,50,1
7069,,魔·司马懿,0,3,1,1010,simayi,192,,15,114,,10000,116726,46914,30,10,300,8,0,15,0,0,50,2
7070,,司马侍卫,0,3,1,6009,wenguan,197,,126,5,,10000,61152,24347,30,10,300,8,0,15,0,0,50,1
7071,,司马亲兵,0,3,1,6010,wujiang,201,,128,127,,10000,96638,17172,30,10,150,15,0,15,0,0,50,1
7072,,魔·曹操,0,3,2,1030,caocao,205,,35,117,,10000,250350,24253,30,10,15,15,100,15,0,0,50,2
7073,,曹家侍卫,0,3,1,6009,wenguan,210,,126,5,,10000,70226,27045,30,10,300,8,0,15,0,0,50,1
7074,,曹家亲兵,0,3,1,6010,wujiang,215,,128,127,,10000,112591,19218,30,10,150,15,0,15,0,0,50,1
7075,,魔·张良,0,3,1,1012,zhangliang,219,,17,109,,10000,155201,58158,30,10,300,8,0,15,0,0,50,2
7076,,张家侍卫,0,3,1,6009,wenguan,223,,126,5,,10000,82588,30477,30,10,300,8,0,15,0,0,50,1
7077,,张家亲兵,0,3,1,6010,wujiang,228,,128,127,,10000,132018,21654,30,10,150,15,0,15,0,0,50,1
7078,,魔·项羽,0,3,1,1001,xiangyu,232,,6,1,,10000,276535,44881,30,10,150,15,0,15,0,0,50,2
7079,,霸王侍卫,0,3,1,6009,wenguan,236,,126,5,,10000,95544,33995,30,10,300,8,0,15,0,0,50,1
7080,,霸王猛将,0,3,1,6010,wujiang,240,,128,127,,10000,151534,23973,30,10,150,15,0,15,0,0,50,1
7081,,魔·商鞅,0,3,1,1011,shangyang,244,,16,110,,10000,206785,72021,30,10,300,8,0,15,0,0,50,2
7082,,魏国侍卫,0,3,1,6009,wenguan,247,,126,5,,10000,115756,39807,30,10,300,8,0,15,0,0,50,1
7083,,魏国猛将,0,3,1,6010,wujiang,251,,128,127,,10000,191668,29378,30,10,150,15,0,15,0,0,50,1
7084,,魔·程咬金,0,3,1,1007,baiqi,253,,12,1,,10000,414259,63025,30,10,150,15,0,15,0,0,50,2
7085,,卫国侍卫,0,3,1,6009,wenguan,255,,126,5,,10000,147188,49175,30,10,300,8,0,15,0,0,50,1
7086,,卫国猛将,0,3,1,6010,wujiang,257,,128,127,,10000,238193,35446,30,10,150,15,0,15,0,0,50,1
7087,,魔·荆轲,0,3,1,1015,jingke,259,,20,3,,10000,353166,97824,30,10,225,8,0,15,0,0,50,2
7088,,秦国侍卫,0,3,1,6009,wenguan,263,,126,5,,10000,180995,58524,30,10,300,8,0,15,0,0,50,1
7089,,秦国猛将,0,3,1,6010,wujiang,268,,128,127,,10000,294875,42407,30,10,150,15,0,15,0,0,50,1
7090,,魔·秦始皇,0,3,2,1033,qinshihuang,272,,38,2,,10000,785409,61411,30,10,15,15,100,15,0,0,50,2
7091,,西施丫鬟,0,3,1,6009,wenguan,277,,126,5,,10000,223528,69728,30,10,300,8,0,15,0,0,50,1
7092,,西施侍卫,0,3,1,6010,wujiang,281,,128,127,,10000,362037,50203,30,10,150,15,0,15,0,0,50,1
7093,,魔·西施,1,3,1,1016,xishi,286,,21,106,,10000,537170,138399,30,10,225,8,0,15,0,0,50,2
7094,,齐国侍卫,0,3,1,6009,wenguan,291,,126,5,,10000,264507,79619,30,10,300,8,0,15,0,0,50,1
7095,,齐国猛将,0,3,1,6010,wujiang,295,,128,127,,10000,418737,56054,30,10,150,15,0,15,0,0,50,1
7096,,魔·孙武,0,3,1,1003,sunwu,300,,8,2,,10000,869160,115166,30,10,150,15,0,15,0,0,50,2
8001,,刀盾兵,0,3,2,6002,daodunbing,25,,120,2,,10000,582,118,30,10,15,15,100,15,0,0,50,1
8002,,文官,0,3,1,6009,wenguan,25,,126,5,,10000,306,250,30,10,300,8,0,15,8,15,50,1
8003,,巫师,0,3,1,6006,wushi,26,,123,134,,10000,356,292,30,10,300,8,0,15,8,15,50,1
8004,,游侠,0,3,1,6005,youxia,26,,122,2,,10000,542,187,30,100,15,15,0,15,15,15,50,1
8005,,游侠,0,3,1,6005,youxia,27,,122,2,,10000,619,214,30,100,15,15,0,15,15,15,50,1
8006,,秘宝山贼,0,3,1,6007,mibaoshanzei,27,,124,3,,10000,433,301,30,10,225,8,0,15,8,15,50,1
8007,,弓箭手,0,3,1,6003,gongjianshou,29,,116,4,,10000,505,350,30,10,225,8,0,15,8,15,50,1
8008,,文官,0,3,1,6009,wenguan,29,,126,5,,10000,474,389,30,10,300,8,0,15,8,15,50,1
8009,,刀盾兵,0,3,2,6002,daodunbing,30,,120,2,,10000,1062,216,30,10,15,15,100,15,45,15,50,1
8010,,弓箭手,0,3,1,6003,gongjianshou,30,,116,4,,10000,595,413,30,10,225,8,0,15,8,15,50,1
8011,,游侠,0,3,1,6005,youxia,33,,122,2,,10000,1003,347,30,100,15,15,0,15,15,15,50,1
8012,,弓箭手,0,3,1,6003,gongjianshou,33,,116,4,,10000,702,488,30,10,225,8,0,15,8,15,50,1
8013,,刺客,0,3,1,6004,cike,35,,121,3,,10000,828,576,30,10,225,8,0,15,8,15,50,1
8014,,长枪兵,0,3,1,6001,changqiangbing,35,,119,1,,10000,1183,438,30,10,150,15,0,15,15,15,50,1
8015,,游侠,0,3,1,6005,youxia,38,,122,2,,10000,1388,481,30,100,15,15,0,15,15,15,50,1
8016,,刺客,0,3,1,6004,cike,38,,121,3,,10000,972,676,30,10,225,8,0,15,8,15,50,1
8017,,刺客,0,3,1,6004,cike,41,,121,3,,10000,1133,789,30,10,225,8,0,15,8,15,50,1
8018,,武夫,0,3,1,6008,wufu,41,,125,2,,10000,1618,561,30,100,15,15,0,15,15,15,50,1
8019,,游侠,0,3,1,6005,youxia,45,,122,2,,10000,1874,650,30,100,15,15,0,15,15,15,50,1
8020,,武夫,0,3,1,6008,wufu,45,,125,2,,10000,1874,650,30,100,15,15,0,15,15,15,50,1
8021,,弓箭手,0,3,1,6003,gongjianshou,47,,116,4,,10000,1297,897,30,10,225,8,0,15,8,15,50,1
8022,,文官,0,3,1,6009,wenguan,47,,126,5,,10000,1216,997,30,10,300,8,0,15,8,15,50,1
8023,,刀盾兵,0,3,2,6002,daodunbing,49,,120,2,,10000,2568,518,30,10,15,15,100,15,45,15,50,1
8024,,弓箭手,0,3,1,6003,gongjianshou,49,,116,4,,10000,1438,992,30,10,225,8,0,15,8,15,50,1
8025,,游侠,0,3,1,6005,youxia,50,,122,2,,10000,2274,778,30,100,15,15,0,15,15,15,50,1
8026,,刀盾兵,0,3,2,6002,daodunbing,50,,120,2,,10000,2842,572,30,10,15,15,100,15,45,15,50,1
8027,,刺客,0,3,1,6004,cike,52,,121,3,,10000,1756,1205,30,10,225,8,0,15,8,15,50,1
8028,,文官,0,3,1,6009,wenguan,52,,126,5,,10000,1646,1339,30,10,300,8,0,15,8,15,50,1
8029,,巫师,0,3,1,6006,wushi,53,,123,134,,10000,2265,1839,30,10,300,8,0,15,8,15,50,1
8030,,文官,0,3,1,6009,wenguan,53,,126,5,,10000,2265,1839,30,10,300,8,0,15,8,15,50,1
8031,,文官,0,3,1,6009,wenguan,55,,126,5,,10000,1989,1611,30,10,300,8,0,15,8,15,50,1
8032,,武夫,0,3,1,6008,wufu,55,,125,2,,10000,3030,1031,30,100,15,15,0,15,15,15,50,1
8033,,长枪兵,0,3,1,6001,changqiangbing,57,,119,1,,10000,3317,1206,30,10,150,15,0,15,15,15,50,1
8034,,巫师,0,3,1,6006,wushi,57,,123,134,,10000,2177,1761,30,10,300,8,0,15,8,15,50,1
8035,,长枪兵,0,3,1,6001,changqiangbing,59,,119,1,,10000,3620,1315,30,10,150,15,0,15,15,15,50,1
8036,,武夫,0,3,1,6008,wufu,59,,125,2,,10000,3620,1228,30,100,15,15,0,15,15,15,50,1
8037,,文官,0,3,1,6009,wenguan,61,,126,5,,10000,2585,2085,30,10,300,8,0,15,8,15,50,1
8038,,游侠,0,3,1,6005,youxia,61,,122,2,,10000,3939,1334,30,100,15,15,0,15,15,15,50,1
8039,,文官,0,3,1,6009,wenguan,63,,126,5,,10000,3508,2826,50,10,500,13,0,25,13,25,50,1
8040,,刀盾兵,0,3,2,6002,daodunbing,63,,120,2,,10000,6681,1328,50,10,25,25,100,25,75,25,50,1
8041,,刀盾兵,0,3,2,6002,daodunbing,71,,120,2,,10000,6964,1360,50,10,25,25,100,25,75,25,50,1
8042,,弓箭手,0,3,1,6003,gongjianshou,71,,116,4,,10000,3900,2604,50,10,375,13,0,25,13,25,50,1
8043,,弓箭手,0,3,1,6003,gongjianshou,75,,116,4,,10000,4386,2910,50,10,375,13,0,25,13,25,50,1
8044,,刺客,0,3,1,6004,cike,75,,121,3,,10000,4386,2910,50,10,375,13,0,25,13,25,50,1
8045,,长枪兵,0,3,1,6001,changqiangbing,79,,119,1,,10000,6993,2458,50,10,250,25,0,25,25,25,50,1
8046,,秘宝山贼,0,3,1,6007,mibaoshanzei,79,,124,3,,10000,4895,3229,50,10,375,13,0,25,13,25,50,1
8047,,巫师,0,3,1,6006,wushi,84,,123,134,,10000,5087,3958,50,10,500,13,0,25,13,25,50,1
8048,,武夫,0,3,1,6008,wufu,84,,125,2,,10000,7751,2533,50,100,25,25,0,25,25,25,50,1
8049,,巫师,0,3,1,6006,wushi,89,,123,134,,10000,7006,5429,50,10,500,13,0,25,13,25,50,1
8050,,长枪兵,0,3,1,6001,changqiangbing,89,,119,1,,10000,10676,3719,50,10,250,25,0,25,25,25,50,1
8051,,游侠,0,3,1,6005,youxia,93,,122,2,,10000,9362,3037,50,100,25,25,0,25,25,25,50,1
8052,,文官,0,3,1,6009,wenguan,93,,126,5,,10000,6144,4745,50,10,500,13,0,25,13,25,50,1
8053,,秘宝山贼,0,3,1,6007,mibaoshanzei,99,,124,3,,10000,7151,4645,50,10,375,13,0,25,13,25,50,1
8054,,刺客,0,3,1,6004,cike,99,,121,3,,10000,7151,4645,50,10,375,13,0,25,13,25,50,1
8055,,巫师,0,3,1,6006,wushi,104,,123,134,,10000,7284,5593,50,10,500,13,0,25,13,25,50,1
8056,,弓箭手,0,3,1,6003,gongjianshou,104,,116,4,,10000,7770,5034,50,10,375,13,0,25,13,25,50,1
8057,,长枪兵,0,3,1,6001,changqiangbing,109,,119,1,,10000,12016,4137,50,10,250,25,0,25,25,25,50,1
8058,,刺客,0,3,1,6004,cike,109,,121,3,,10000,8411,5436,50,10,375,13,0,25,13,25,50,1
8059,,弓箭手,0,3,1,6003,gongjianshou,115,,116,4,,10000,11343,7316,100,10,750,25,0,50,25,50,50,1
8060,,文官,0,3,1,6009,wenguan,121,,126,5,,10000,9341,7129,100,10,1000,25,0,50,25,50,50,1
