##这是一个注释,不读,,,,,,
效果ID,描述,统一目标,效果1,效果2,效果3,效果4,效果5
103796,,,改变属性#9#绝技伤害#0#1913,,,,
103797,,,改变属性#9#绝技伤害#0#1969,,,,
103798,,,改变属性#9#绝技伤害#0#2026,,,,
103799,,,改变属性#9#绝技伤害#0#2082,,,,
103800,,,改变属性#9#绝技伤害#0#2138,,,,
103801,,,改变属性#9#绝技伤害#0#2194,,,,
103802,,,改变属性#9#绝技伤害#0#2251,,,,
103803,,,改变属性#9#绝技伤害#0#2307,,,,
103804,,,改变属性#9#绝技伤害#0#2363,,,,
103805,,,改变属性#9#绝技伤害#0#2419,,,,
103806,,,改变属性#9#绝技伤害#0#2476,,,,
103807,,,改变属性#9#绝技伤害#0#2532,,,,
103808,,,改变属性#9#绝技伤害#0#2588,,,,
103809,,,改变属性#9#绝技伤害#0#2645,,,,
103810,,,改变属性#9#绝技伤害#0#2701,,,,
103811,,,改变属性#9#绝技伤害#0#2836,,,,
103812,,,改变属性#9#绝技伤害#0#2971,,,,
103813,,,改变属性#9#绝技伤害#0#3106,,,,
103814,,,改变属性#9#绝技伤害#0#3241,,,,
103815,,,改变属性#9#绝技伤害#0#3376,,,,
103816,,,改变属性#9#绝技伤害#0#3511,,,,
103817,,,改变属性#9#绝技伤害#0#3646,,,,
103818,,,改变属性#9#绝技伤害#0#3781,,,,
103819,,,改变属性#9#绝技伤害#0#3916,,,,
103820,,,改变属性#9#绝技伤害#0#4051,,,,
103821,,,改变属性#9#绝技伤害#0#4186,,,,
103822,,,改变属性#9#绝技伤害#0#4321,,,,
103823,,,改变属性#9#绝技伤害#0#4456,,,,
103824,,,改变属性#9#绝技伤害#0#4591,,,,
103825,,,改变属性#9#绝技伤害#0#4726,,,,
103826,,,改变属性#9#绝技伤害#0#4861,,,,
103827,,,改变属性#9#绝技伤害#0#4996,,,,
103828,,,改变属性#9#绝技伤害#0#5132,,,,
103829,,,改变属性#9#绝技伤害#0#5267,,,,
103830,,,改变属性#9#绝技伤害#0#5402,,,,
103831,,,改变属性#9#绝技伤害#0#5537,,,,
103832,,,改变属性#9#绝技伤害#0#5672,,,,
103833,,,改变属性#9#绝技伤害#0#5807,,,,
103834,,,改变属性#9#绝技伤害#0#5942,,,,
103835,,,改变属性#9#绝技伤害#0#6077,,,,
103836,,,改变属性#9#绝技伤害#0#6212,,,,
103837,,,改变属性#9#绝技伤害#0#6347,,,,
103838,,,改变属性#9#绝技伤害#0#6482,,,,
103839,,,改变属性#9#绝技伤害#0#6617,,,,
103840,,,改变属性#9#绝技伤害#0#6752,,,,
103841,,,改变属性#9#绝技伤害#0#5,属性增强#38#反弹能力#40,,,
103842,,,改变属性#9#绝技伤害#0#9,属性增强#38#反弹能力#80,,,
103843,,,改变属性#9#绝技伤害#0#14,属性增强#38#反弹能力#120,,,
103844,,,改变属性#9#绝技伤害#0#18,属性增强#38#反弹能力#160,,,
103845,,,改变属性#9#绝技伤害#0#23,属性增强#38#反弹能力#200,,,
103846,,,改变属性#9#绝技伤害#0#27,属性增强#38#反弹能力#240,,,
103847,,,改变属性#9#绝技伤害#0#32,属性增强#38#反弹能力#280,,,
103848,,,改变属性#9#绝技伤害#0#36,属性增强#38#反弹能力#320,,,
103849,,,改变属性#9#绝技伤害#0#41,属性增强#38#反弹能力#360,,,
103850,,,改变属性#9#绝技伤害#0#45,属性增强#38#反弹能力#400,,,
103851,,,改变属性#9#绝技伤害#0#50,属性增强#38#反弹能力#440,,,
103852,,,改变属性#9#绝技伤害#0#54,属性增强#38#反弹能力#480,,,
103853,,,改变属性#9#绝技伤害#0#59,属性增强#38#反弹能力#520,,,
103854,,,改变属性#9#绝技伤害#0#63,属性增强#38#反弹能力#560,,,
103855,,,改变属性#9#绝技伤害#0#68,属性增强#38#反弹能力#600,,,
103856,,,改变属性#9#绝技伤害#0#72,属性增强#38#反弹能力#640,,,
103857,,,改变属性#9#绝技伤害#0#77,属性增强#38#反弹能力#680,,,
103858,,,改变属性#9#绝技伤害#0#81,属性增强#38#反弹能力#720,,,
103859,,,改变属性#9#绝技伤害#0#86,属性增强#38#反弹能力#760,,,
103860,,,改变属性#9#绝技伤害#0#90,属性增强#38#反弹能力#800,,,
103861,,,改变属性#9#绝技伤害#0#95,属性增强#38#反弹能力#840,,,
103862,,,改变属性#9#绝技伤害#0#99,属性增强#38#反弹能力#880,,,
103863,,,改变属性#9#绝技伤害#0#104,属性增强#38#反弹能力#920,,,
103864,,,改变属性#9#绝技伤害#0#108,属性增强#38#反弹能力#960,,,
103865,,,改变属性#9#绝技伤害#0#113,属性增强#38#反弹能力#1000,,,
103866,,,改变属性#9#绝技伤害#0#117,属性增强#38#反弹能力#1040,,,
103867,,,改变属性#9#绝技伤害#0#122,属性增强#38#反弹能力#1080,,,
103868,,,改变属性#9#绝技伤害#0#126,属性增强#38#反弹能力#1120,,,
103869,,,改变属性#9#绝技伤害#0#131,属性增强#38#反弹能力#1160,,,
103870,,,改变属性#9#绝技伤害#0#135,属性增强#38#反弹能力#1200,,,
103871,,,改变属性#9#绝技伤害#0#144,属性增强#38#反弹能力#1240,,,
103872,,,改变属性#9#绝技伤害#0#153,属性增强#38#反弹能力#1280,,,
103873,,,改变属性#9#绝技伤害#0#162,属性增强#38#反弹能力#1320,,,
103874,,,改变属性#9#绝技伤害#0#171,属性增强#38#反弹能力#1360,,,
103875,,,改变属性#9#绝技伤害#0#180,属性增强#38#反弹能力#1400,,,
103876,,,改变属性#9#绝技伤害#0#189,属性增强#38#反弹能力#1440,,,
103877,,,改变属性#9#绝技伤害#0#198,属性增强#38#反弹能力#1480,,,
103878,,,改变属性#9#绝技伤害#0#207,属性增强#38#反弹能力#1520,,,
103879,,,改变属性#9#绝技伤害#0#216,属性增强#38#反弹能力#1560,,,
103880,,,改变属性#9#绝技伤害#0#225,属性增强#38#反弹能力#1600,,,
103881,,,改变属性#9#绝技伤害#0#234,属性增强#38#反弹能力#1640,,,
103882,,,改变属性#9#绝技伤害#0#243,属性增强#38#反弹能力#1680,,,
103883,,,改变属性#9#绝技伤害#0#252,属性增强#38#反弹能力#1720,,,
103884,,,改变属性#9#绝技伤害#0#261,属性增强#38#反弹能力#1760,,,
103885,,,改变属性#9#绝技伤害#0#270,属性增强#38#反弹能力#1800,,,
103886,,,改变属性#9#绝技伤害#0#279,属性增强#38#反弹能力#1840,,,
103887,,,改变属性#9#绝技伤害#0#288,属性增强#38#反弹能力#1880,,,
103888,,,改变属性#9#绝技伤害#0#297,属性增强#38#反弹能力#1920,,,
103889,,,改变属性#9#绝技伤害#0#306,属性增强#38#反弹能力#1960,,,
103890,,,改变属性#9#绝技伤害#0#315,属性增强#38#反弹能力#2000,,,
103891,,,改变属性#9#绝技伤害#0#324,属性增强#38#反弹能力#2040,,,
103892,,,改变属性#9#绝技伤害#0#333,属性增强#38#反弹能力#2080,,,
103893,,,改变属性#9#绝技伤害#0#342,属性增强#38#反弹能力#2120,,,
103894,,,改变属性#9#绝技伤害#0#351,属性增强#38#反弹能力#2160,,,
103895,,,改变属性#9#绝技伤害#0#360,属性增强#38#反弹能力#2200,,,
103896,,,改变属性#9#绝技伤害#0#369,属性增强#38#反弹能力#2240,,,
103897,,,改变属性#9#绝技伤害#0#378,属性增强#38#反弹能力#2280,,,
103898,,,改变属性#9#绝技伤害#0#387,属性增强#38#反弹能力#2320,,,
103899,,,改变属性#9#绝技伤害#0#396,属性增强#38#反弹能力#2360,,,
103900,,,改变属性#9#绝技伤害#0#405,属性增强#38#反弹能力#2400,,,
103901,,,改变属性#9#绝技伤害#0#428,属性增强#38#反弹能力#2440,,,
103902,,,改变属性#9#绝技伤害#0#450,属性增强#38#反弹能力#2480,,,
103903,,,改变属性#9#绝技伤害#0#473,属性增强#38#反弹能力#2520,,,
103904,,,改变属性#9#绝技伤害#0#495,属性增强#38#反弹能力#2560,,,
103905,,,改变属性#9#绝技伤害#0#518,属性增强#38#反弹能力#2600,,,
103906,,,改变属性#9#绝技伤害#0#540,属性增强#38#反弹能力#2640,,,
103907,,,改变属性#9#绝技伤害#0#563,属性增强#38#反弹能力#2680,,,
103908,,,改变属性#9#绝技伤害#0#585,属性增强#38#反弹能力#2720,,,
103909,,,改变属性#9#绝技伤害#0#608,属性增强#38#反弹能力#2760,,,
103910,,,改变属性#9#绝技伤害#0#630,属性增强#38#反弹能力#2800,,,
103911,,,改变属性#9#绝技伤害#0#653,属性增强#38#反弹能力#2840,,,
103912,,,改变属性#9#绝技伤害#0#675,属性增强#38#反弹能力#2880,,,
103913,,,改变属性#9#绝技伤害#0#698,属性增强#38#反弹能力#2920,,,
103914,,,改变属性#9#绝技伤害#0#720,属性增强#38#反弹能力#2960,,,
103915,,,改变属性#9#绝技伤害#0#743,属性增强#38#反弹能力#3000,,,
103916,,,改变属性#9#绝技伤害#0#765,属性增强#38#反弹能力#3040,,,
103917,,,改变属性#9#绝技伤害#0#788,属性增强#38#反弹能力#3080,,,
103918,,,改变属性#9#绝技伤害#0#810,属性增强#38#反弹能力#3120,,,
103919,,,改变属性#9#绝技伤害#0#833,属性增强#38#反弹能力#3160,,,
103920,,,改变属性#9#绝技伤害#0#855,属性增强#38#反弹能力#3200,,,
103921,,,改变属性#9#绝技伤害#0#878,属性增强#38#反弹能力#3240,,,
103922,,,改变属性#9#绝技伤害#0#900,属性增强#38#反弹能力#3280,,,
103923,,,改变属性#9#绝技伤害#0#923,属性增强#38#反弹能力#3320,,,
103924,,,改变属性#9#绝技伤害#0#945,属性增强#38#反弹能力#3360,,,
103925,,,改变属性#9#绝技伤害#0#968,属性增强#38#反弹能力#3400,,,
103926,,,改变属性#9#绝技伤害#0#990,属性增强#38#反弹能力#3440,,,
103927,,,改变属性#9#绝技伤害#0#1013,属性增强#38#反弹能力#3480,,,
103928,,,改变属性#9#绝技伤害#0#1035,属性增强#38#反弹能力#3520,,,
103929,,,改变属性#9#绝技伤害#0#1058,属性增强#38#反弹能力#3560,,,
103930,,,改变属性#9#绝技伤害#0#1080,属性增强#38#反弹能力#3600,,,
103931,,,改变属性#9#绝技伤害#0#1134,属性增强#38#反弹能力#3640,,,
103932,,,改变属性#9#绝技伤害#0#1188,属性增强#38#反弹能力#3680,,,
103933,,,改变属性#9#绝技伤害#0#1242,属性增强#38#反弹能力#3720,,,
103934,,,改变属性#9#绝技伤害#0#1296,属性增强#38#反弹能力#3760,,,
103935,,,改变属性#9#绝技伤害#0#1351,属性增强#38#反弹能力#3800,,,
103936,,,改变属性#9#绝技伤害#0#1405,属性增强#38#反弹能力#3840,,,
103937,,,改变属性#9#绝技伤害#0#1459,属性增强#38#反弹能力#3880,,,
103938,,,改变属性#9#绝技伤害#0#1513,属性增强#38#反弹能力#3920,,,
103939,,,改变属性#9#绝技伤害#0#1567,属性增强#38#反弹能力#3960,,,
103940,,,改变属性#9#绝技伤害#0#1621,属性增强#38#反弹能力#4000,,,
103941,,,改变属性#9#绝技伤害#0#1675,属性增强#38#反弹能力#4040,,,
103942,,,改变属性#9#绝技伤害#0#1729,属性增强#38#反弹能力#4080,,,
103943,,,改变属性#9#绝技伤害#0#1783,属性增强#38#反弹能力#4120,,,
103944,,,改变属性#9#绝技伤害#0#1837,属性增强#38#反弹能力#4160,,,
103945,,,改变属性#9#绝技伤害#0#1891,属性增强#38#反弹能力#4200,,,
103946,,,改变属性#9#绝技伤害#0#1945,属性增强#38#反弹能力#4240,,,
103947,,,改变属性#9#绝技伤害#0#1999,属性增强#38#反弹能力#4280,,,
103948,,,改变属性#9#绝技伤害#0#2053,属性增强#38#反弹能力#4320,,,
103949,,,改变属性#9#绝技伤害#0#2107,属性增强#38#反弹能力#4360,,,
103950,,,改变属性#9#绝技伤害#0#2161,属性增强#38#反弹能力#4400,,,
103951,,,改变属性#9#绝技伤害#0#2215,属性增强#38#反弹能力#4440,,,
103952,,,改变属性#9#绝技伤害#0#2269,属性增强#38#反弹能力#4480,,,
103953,,,改变属性#9#绝技伤害#0#2323,属性增强#38#反弹能力#4520,,,
103954,,,改变属性#9#绝技伤害#0#2377,属性增强#38#反弹能力#4560,,,
103955,,,改变属性#9#绝技伤害#0#2431,属性增强#38#反弹能力#4600,,,
103956,,,改变属性#9#绝技伤害#0#2485,属性增强#38#反弹能力#4640,,,
103957,,,改变属性#9#绝技伤害#0#2539,属性增强#38#反弹能力#4680,,,
103958,,,改变属性#9#绝技伤害#0#2593,属性增强#38#反弹能力#4720,,,
103959,,,改变属性#9#绝技伤害#0#2647,属性增强#38#反弹能力#4760,,,
103960,,,改变属性#9#绝技伤害#0#2701,属性增强#38#反弹能力#4800,,,
103961,,,改变属性#9#小招伤害#0#4,,,,
103962,,,改变属性#9#小招伤害#0#7,,,,
103963,,,改变属性#9#小招伤害#0#11,,,,
103964,,,改变属性#9#小招伤害#0#14,,,,
103965,,,改变属性#9#小招伤害#0#18,,,,
103966,,,改变属性#9#小招伤害#0#21,,,,
103967,,,改变属性#9#小招伤害#0#25,,,,
103968,,,改变属性#9#小招伤害#0#28,,,,
103969,,,改变属性#9#小招伤害#0#32,,,,
103970,,,改变属性#9#小招伤害#0#35,,,,
103971,,,改变属性#9#小招伤害#0#39,,,,
103972,,,改变属性#9#小招伤害#0#42,,,,
103973,,,改变属性#9#小招伤害#0#46,,,,
103974,,,改变属性#9#小招伤害#0#50,,,,
103975,,,改变属性#9#小招伤害#0#53,,,,
103976,,,改变属性#9#小招伤害#0#57,,,,
103977,,,改变属性#9#小招伤害#0#60,,,,
103978,,,改变属性#9#小招伤害#0#64,,,,
103979,,,改变属性#9#小招伤害#0#67,,,,
103980,,,改变属性#9#小招伤害#0#71,,,,
103981,,,改变属性#9#小招伤害#0#74,,,,
103982,,,改变属性#9#小招伤害#0#78,,,,
103983,,,改变属性#9#小招伤害#0#81,,,,
103984,,,改变属性#9#小招伤害#0#85,,,,
103985,,,改变属性#9#小招伤害#0#88,,,,
103986,,,改变属性#9#小招伤害#0#92,,,,
103987,,,改变属性#9#小招伤害#0#96,,,,
103988,,,改变属性#9#小招伤害#0#99,,,,
103989,,,改变属性#9#小招伤害#0#103,,,,
103990,,,改变属性#9#小招伤害#0#106,,,,
103991,,,改变属性#9#小招伤害#0#113,,,,
103992,,,改变属性#9#小招伤害#0#120,,,,
103993,,,改变属性#9#小招伤害#0#127,,,,
103994,,,改变属性#9#小招伤害#0#134,,,,
103995,,,改变属性#9#小招伤害#0#142,,,,
103996,,,改变属性#9#小招伤害#0#149,,,,
103997,,,改变属性#9#小招伤害#0#156,,,,
103998,,,改变属性#9#小招伤害#0#163,,,,
103999,,,改变属性#9#小招伤害#0#170,,,,
104000,,,改变属性#9#小招伤害#0#177,,,,
104001,,,改变属性#9#小招伤害#0#184,,,,
104002,,,改变属性#9#小招伤害#0#191,,,,
104003,,,改变属性#9#小招伤害#0#198,,,,
104004,,,改变属性#9#小招伤害#0#205,,,,
104005,,,改变属性#9#小招伤害#0#212,,,,
104006,,,改变属性#9#小招伤害#0#219,,,,
104007,,,改变属性#9#小招伤害#0#226,,,,
104008,,,改变属性#9#小招伤害#0#234,,,,
104009,,,改变属性#9#小招伤害#0#241,,,,
104010,,,改变属性#9#小招伤害#0#248,,,,
104011,,,改变属性#9#小招伤害#0#255,,,,
104012,,,改变属性#9#小招伤害#0#262,,,,
104013,,,改变属性#9#小招伤害#0#269,,,,
104014,,,改变属性#9#小招伤害#0#276,,,,
104015,,,改变属性#9#小招伤害#0#283,,,,
104016,,,改变属性#9#小招伤害#0#290,,,,
104017,,,改变属性#9#小招伤害#0#297,,,,
104018,,,改变属性#9#小招伤害#0#304,,,,
104019,,,改变属性#9#小招伤害#0#311,,,,
104020,,,改变属性#9#小招伤害#0#318,,,,
104021,,,改变属性#9#小招伤害#0#336,,,,
104022,,,改变属性#9#小招伤害#0#354,,,,
104023,,,改变属性#9#小招伤害#0#372,,,,
104024,,,改变属性#9#小招伤害#0#389,,,,
104025,,,改变属性#9#小招伤害#0#407,,,,
104026,,,改变属性#9#小招伤害#0#425,,,,
104027,,,改变属性#9#小招伤害#0#442,,,,
104028,,,改变属性#9#小招伤害#0#460,,,,
104029,,,改变属性#9#小招伤害#0#478,,,,
104030,,,改变属性#9#小招伤害#0#495,,,,
104031,,,改变属性#9#小招伤害#0#513,,,,
104032,,,改变属性#9#小招伤害#0#531,,,,
104033,,,改变属性#9#小招伤害#0#548,,,,
104034,,,改变属性#9#小招伤害#0#566,,,,
104035,,,改变属性#9#小招伤害#0#584,,,,
104036,,,改变属性#9#小招伤害#0#602,,,,
104037,,,改变属性#9#小招伤害#0#619,,,,
104038,,,改变属性#9#小招伤害#0#637,,,,
104039,,,改变属性#9#小招伤害#0#655,,,,
104040,,,改变属性#9#小招伤害#0#672,,,,
104041,,,改变属性#9#小招伤害#0#690,,,,
104042,,,改变属性#9#小招伤害#0#708,,,,
104043,,,改变属性#9#小招伤害#0#725,,,,
104044,,,改变属性#9#小招伤害#0#743,,,,
104045,,,改变属性#9#小招伤害#0#761,,,,
104046,,,改变属性#9#小招伤害#0#778,,,,
104047,,,改变属性#9#小招伤害#0#796,,,,
104048,,,改变属性#9#小招伤害#0#814,,,,
104049,,,改变属性#9#小招伤害#0#832,,,,
104050,,,改变属性#9#小招伤害#0#849,,,,
104051,,,改变属性#9#小招伤害#0#892,,,,
104052,,,改变属性#9#小招伤害#0#934,,,,
104053,,,改变属性#9#小招伤害#0#977,,,,
104054,,,改变属性#9#小招伤害#0#1019,,,,
104055,,,改变属性#9#小招伤害#0#1062,,,,
104056,,,改变属性#9#小招伤害#0#1104,,,,
104057,,,改变属性#9#小招伤害#0#1146,,,,
104058,,,改变属性#9#小招伤害#0#1189,,,,
104059,,,改变属性#9#小招伤害#0#1231,,,,
104060,,,改变属性#9#小招伤害#0#1274,,,,
104061,,,改变属性#9#小招伤害#0#1316,,,,
104062,,,改变属性#9#小招伤害#0#1359,,,,
104063,,,改变属性#9#小招伤害#0#1401,,,,
104064,,,改变属性#9#小招伤害#0#1444,,,,
104065,,,改变属性#9#小招伤害#0#1486,,,,
104066,,,改变属性#9#小招伤害#0#1529,,,,
104067,,,改变属性#9#小招伤害#0#1571,,,,
104068,,,改变属性#9#小招伤害#0#1613,,,,
104069,,,改变属性#9#小招伤害#0#1656,,,,
104070,,,改变属性#9#小招伤害#0#1698,,,,
104071,,,改变属性#9#小招伤害#0#1741,,,,
104072,,,改变属性#9#小招伤害#0#1783,,,,
104073,,,改变属性#9#小招伤害#0#1826,,,,
104074,,,改变属性#9#小招伤害#0#1868,,,,
104075,,,改变属性#9#小招伤害#0#1911,,,,
104076,,,改变属性#9#小招伤害#0#1953,,,,
104077,,,改变属性#9#小招伤害#0#1996,,,,
104078,,,改变属性#9#小招伤害#0#2038,,,,
104079,,,改变属性#9#小招伤害#0#2081,,,,
104080,,,改变属性#9#小招伤害#0#2123,,,,
104081,,,改变属性#9#小招伤害#0#7,,,,
104082,,,改变属性#9#小招伤害#0#14,,,,
104083,,,改变属性#9#小招伤害#0#21,,,,
104084,,,改变属性#9#小招伤害#0#28,,,,
104085,,,改变属性#9#小招伤害#0#35,,,,
104086,,,改变属性#9#小招伤害#0#42,,,,
104087,,,改变属性#9#小招伤害#0#50,,,,
104088,,,改变属性#9#小招伤害#0#57,,,,
104089,,,改变属性#9#小招伤害#0#64,,,,
104090,,,改变属性#9#小招伤害#0#71,,,,
104091,,,改变属性#9#小招伤害#0#78,,,,
104092,,,改变属性#9#小招伤害#0#85,,,,
104093,,,改变属性#9#小招伤害#0#92,,,,
104094,,,改变属性#9#小招伤害#0#99,,,,
104095,,,改变属性#9#小招伤害#0#106,,,,
104096,,,改变属性#9#小招伤害#0#113,,,,
104097,,,改变属性#9#小招伤害#0#120,,,,
104098,,,改变属性#9#小招伤害#0#127,,,,
104099,,,改变属性#9#小招伤害#0#134,,,,
104100,,,改变属性#9#小招伤害#0#141,,,,
104101,,,改变属性#9#小招伤害#0#149,,,,
104102,,,改变属性#9#小招伤害#0#156,,,,
104103,,,改变属性#9#小招伤害#0#163,,,,
104104,,,改变属性#9#小招伤害#0#170,,,,
104105,,,改变属性#9#小招伤害#0#177,,,,
104106,,,改变属性#9#小招伤害#0#184,,,,
104107,,,改变属性#9#小招伤害#0#191,,,,
104108,,,改变属性#9#小招伤害#0#198,,,,
104109,,,改变属性#9#小招伤害#0#205,,,,
104110,,,改变属性#9#小招伤害#0#212,,,,
104111,,,改变属性#9#小招伤害#0#226,,,,
104112,,,改变属性#9#小招伤害#0#240,,,,
104113,,,改变属性#9#小招伤害#0#255,,,,
104114,,,改变属性#9#小招伤害#0#269,,,,
104115,,,改变属性#9#小招伤害#0#283,,,,
104116,,,改变属性#9#小招伤害#0#297,,,,
104117,,,改变属性#9#小招伤害#0#311,,,,
104118,,,改变属性#9#小招伤害#0#325,,,,
104119,,,改变属性#9#小招伤害#0#339,,,,
104120,,,改变属性#9#小招伤害#0#354,,,,
104121,,,改变属性#9#小招伤害#0#368,,,,
104122,,,改变属性#9#小招伤害#0#382,,,,
104123,,,改变属性#9#小招伤害#0#396,,,,
104124,,,改变属性#9#小招伤害#0#410,,,,
104125,,,改变属性#9#小招伤害#0#424,,,,
104126,,,改变属性#9#小招伤害#0#438,,,,
104127,,,改变属性#9#小招伤害#0#453,,,,
104128,,,改变属性#9#小招伤害#0#467,,,,
104129,,,改变属性#9#小招伤害#0#481,,,,
104130,,,改变属性#9#小招伤害#0#495,,,,
104131,,,改变属性#9#小招伤害#0#509,,,,
104132,,,改变属性#9#小招伤害#0#523,,,,
104133,,,改变属性#9#小招伤害#0#537,,,,
104134,,,改变属性#9#小招伤害#0#552,,,,
104135,,,改变属性#9#小招伤害#0#566,,,,
104136,,,改变属性#9#小招伤害#0#580,,,,
104137,,,改变属性#9#小招伤害#0#594,,,,
104138,,,改变属性#9#小招伤害#0#608,,,,
104139,,,改变属性#9#小招伤害#0#622,,,,
104140,,,改变属性#9#小招伤害#0#636,,,,
104141,,,改变属性#9#小招伤害#0#672,,,,
104142,,,改变属性#9#小招伤害#0#707,,,,
104143,,,改变属性#9#小招伤害#0#743,,,,
104144,,,改变属性#9#小招伤害#0#778,,,,
104145,,,改变属性#9#小招伤害#0#813,,,,
104146,,,改变属性#9#小招伤害#0#849,,,,
104147,,,改变属性#9#小招伤害#0#884,,,,
104148,,,改变属性#9#小招伤害#0#919,,,,
104149,,,改变属性#9#小招伤害#0#955,,,,
104150,,,改变属性#9#小招伤害#0#990,,,,
104151,,,改变属性#9#小招伤害#0#1025,,,,
104152,,,改变属性#9#小招伤害#0#1061,,,,
104153,,,改变属性#9#小招伤害#0#1096,,,,
104154,,,改变属性#9#小招伤害#0#1131,,,,
104155,,,改变属性#9#小招伤害#0#1167,,,,
104156,,,改变属性#9#小招伤害#0#1202,,,,
104157,,,改变属性#9#小招伤害#0#1238,,,,
104158,,,改变属性#9#小招伤害#0#1273,,,,
104159,,,改变属性#9#小招伤害#0#1308,,,,
104160,,,改变属性#9#小招伤害#0#1344,,,,
104161,,,改变属性#9#小招伤害#0#1379,,,,
104162,,,改变属性#9#小招伤害#0#1414,,,,
104163,,,改变属性#9#小招伤害#0#1450,,,,
104164,,,改变属性#9#小招伤害#0#1485,,,,
104165,,,改变属性#9#小招伤害#0#1520,,,,
104166,,,改变属性#9#小招伤害#0#1556,,,,
104167,,,改变属性#9#小招伤害#0#1591,,,,
104168,,,改变属性#9#小招伤害#0#1626,,,,
104169,,,改变属性#9#小招伤害#0#1662,,,,
104170,,,改变属性#9#小招伤害#0#1697,,,,
104171,,,改变属性#9#小招伤害#0#1782,,,,
104172,,,改变属性#9#小招伤害#0#1867,,,,
104173,,,改变属性#9#小招伤害#0#1952,,,,
104174,,,改变属性#9#小招伤害#0#2037,,,,
104175,,,改变属性#9#小招伤害#0#2122,,,,
104176,,,改变属性#9#小招伤害#0#2206,,,,
104177,,,改变属性#9#小招伤害#0#2291,,,,
104178,,,改变属性#9#小招伤害#0#2376,,,,
104179,,,改变属性#9#小招伤害#0#2461,,,,
104180,,,改变属性#9#小招伤害#0#2546,,,,
104181,,,改变属性#9#小招伤害#0#2631,,,,
104182,,,改变属性#9#小招伤害#0#2716,,,,
104183,,,改变属性#9#小招伤害#0#2800,,,,
104184,,,改变属性#9#小招伤害#0#2885,,,,
104185,,,改变属性#9#小招伤害#0#2970,,,,
104186,,,改变属性#9#小招伤害#0#3055,,,,
104187,,,改变属性#9#小招伤害#0#3140,,,,
104188,,,改变属性#9#小招伤害#0#3225,,,,
104189,,,改变属性#9#小招伤害#0#3310,,,,
104190,,,改变属性#9#小招伤害#0#3394,,,,
104191,,,改变属性#9#小招伤害#0#3479,,,,
104192,,,改变属性#9#小招伤害#0#3564,,,,
104193,,,改变属性#9#小招伤害#0#3649,,,,
104194,,,改变属性#9#小招伤害#0#3734,,,,
104195,,,改变属性#9#小招伤害#0#3819,,,,
104196,,,改变属性#9#小招伤害#0#3904,,,,
104197,,,改变属性#9#小招伤害#0#3988,,,,
104198,,,改变属性#9#小招伤害#0#4073,,,,
104199,,,改变属性#9#小招伤害#0#4158,,,,
104200,,,改变属性#9#小招伤害#0#4243,,,,
104201,,,属性增强#203#闪避附加值#20,,,,
104202,,,属性增强#203#闪避附加值#40,,,,
104203,,,属性增强#203#闪避附加值#60,,,,
104204,,,属性增强#203#闪避附加值#80,,,,
104205,,,属性增强#203#闪避附加值#100,,,,
104206,,,属性增强#203#闪避附加值#120,,,,
104207,,,属性增强#203#闪避附加值#140,,,,
104208,,,属性增强#203#闪避附加值#160,,,,
104209,,,属性增强#203#闪避附加值#180,,,,
104210,,,属性增强#203#闪避附加值#200,,,,
104211,,,属性增强#203#闪避附加值#220,,,,
104212,,,属性增强#203#闪避附加值#240,,,,
104213,,,属性增强#203#闪避附加值#260,,,,
104214,,,属性增强#203#闪避附加值#280,,,,
104215,,,属性增强#203#闪避附加值#300,,,,
104216,,,属性增强#203#闪避附加值#320,,,,
104217,,,属性增强#203#闪避附加值#340,,,,
104218,,,属性增强#203#闪避附加值#360,,,,
104219,,,属性增强#203#闪避附加值#380,,,,
104220,,,属性增强#203#闪避附加值#400,,,,
104221,,,属性增强#203#闪避附加值#420,,,,
104222,,,属性增强#203#闪避附加值#440,,,,
104223,,,属性增强#203#闪避附加值#460,,,,
104224,,,属性增强#203#闪避附加值#480,,,,
104225,,,属性增强#203#闪避附加值#500,,,,
104226,,,属性增强#203#闪避附加值#520,,,,
104227,,,属性增强#203#闪避附加值#540,,,,
104228,,,属性增强#203#闪避附加值#560,,,,
104229,,,属性增强#203#闪避附加值#580,,,,
104230,,,属性增强#203#闪避附加值#600,,,,
104231,,,属性增强#203#闪避附加值#620,,,,
104232,,,属性增强#203#闪避附加值#640,,,,
104233,,,属性增强#203#闪避附加值#660,,,,
104234,,,属性增强#203#闪避附加值#680,,,,
104235,,,属性增强#203#闪避附加值#700,,,,
104236,,,属性增强#203#闪避附加值#720,,,,
104237,,,属性增强#203#闪避附加值#740,,,,
104238,,,属性增强#203#闪避附加值#760,,,,
104239,,,属性增强#203#闪避附加值#780,,,,
104240,,,属性增强#203#闪避附加值#800,,,,
104241,,,属性增强#203#闪避附加值#820,,,,
104242,,,属性增强#203#闪避附加值#840,,,,
104243,,,属性增强#203#闪避附加值#860,,,,
104244,,,属性增强#203#闪避附加值#880,,,,
104245,,,属性增强#203#闪避附加值#900,,,,
104246,,,属性增强#203#闪避附加值#920,,,,
104247,,,属性增强#203#闪避附加值#940,,,,
104248,,,属性增强#203#闪避附加值#960,,,,
104249,,,属性增强#203#闪避附加值#980,,,,
104250,,,属性增强#203#闪避附加值#1000,,,,
104251,,,属性增强#203#闪避附加值#1020,,,,
104252,,,属性增强#203#闪避附加值#1040,,,,
